"filename", "language", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\ahki\public\Emoji\pack4\025-cat-3.svg", "XML", 0, 0, 0, 0, 95, 1, 1, 97
"d:\ahki\public\Emoji\pack4\026-cat-2.svg", "XML", 0, 0, 0, 0, 111, 1, 1, 113
"d:\ahki\public\Emoji\pack4\027-cat-1.svg", "XML", 0, 0, 0, 0, 99, 1, 1, 101
"d:\ahki\public\Emoji\pack4\028-cat.svg", "XML", 0, 0, 0, 0, 105, 1, 1, 107
"d:\ahki\public\Emoji\pack4\029-princess.svg", "XML", 0, 0, 0, 0, 89, 1, 1, 91
"d:\ahki\public\Emoji\pack4\030-baby-1.svg", "XML", 0, 0, 0, 0, 95, 1, 1, 97
"d:\ahki\public\Emoji\pack4\031-man-2.svg", "XML", 0, 0, 0, 0, 87, 1, 1, 89
"d:\ahki\public\Emoji\pack4\032-old-woman.svg", "XML", 0, 0, 0, 0, 74, 1, 1, 76
"d:\ahki\public\Emoji\pack4\033-in-love.svg", "XML", 0, 0, 0, 0, 66, 1, 1, 68
"d:\ahki\public\Emoji\pack4\034-bald.svg", "XML", 0, 0, 0, 0, 88, 1, 1, 90
"d:\ahki\public\Emoji\pack4\035-woman-2.svg", "XML", 0, 0, 0, 0, 78, 1, 1, 80
"d:\ahki\public\Emoji\pack4\036-man-1.svg", "XML", 0, 0, 0, 0, 101, 1, 1, 103
"d:\ahki\public\Emoji\pack4\037-girl.svg", "XML", 0, 0, 0, 0, 104, 1, 1, 106
"d:\ahki\public\Emoji\pack4\038-boy-1.svg", "XML", 0, 0, 0, 0, 88, 1, 1, 90
"d:\ahki\public\Emoji\pack4\039-baby.svg", "XML", 0, 0, 0, 0, 87, 1, 1, 89
"d:\ahki\public\Emoji\pack4\040-guard.svg", "XML", 0, 0, 0, 0, 77, 1, 1, 79
"d:\ahki\public\Emoji\pack4\041-doctor.svg", "XML", 0, 0, 0, 0, 92, 1, 1, 94
